Id,Start time,Completion time,Email,Name,What is your current academic year?,Are you a domestic or international student?,What is your sex?,Which sample did you prefer?,"Which sample would you identify as a ""Spencer Grill"" water?","Which sample would you identify as a ""Fountain"" water?",How confident are you in your choice?
3,5/4/2025 16:47,5/4/2025 16:49,anonymous,,Freshman,International student,Female,B,B,A,Confident
4,5/4/2025 16:50,5/4/2025 16:51,anonymous,,Junior,International student,Female,B,B,A,Somewhat confident
5,5/4/2025 18:00,5/4/2025 18:03,anonymous,,Freshman,International student,Male,B,B,A,Confident
6,5/4/2025 19:08,5/4/2025 19:09,anonymous,,Senior,Domestic student,Male,A,A,B,Somewhat confident
7,5/4/2025 19:11,5/4/2025 19:12,anonymous,,Freshman,Domestic student,Female,A,A,B,Somewhat confident
8,5/4/2025 19:13,5/4/2025 19:14,anonymous,,Freshman,Domestic student,Female,B,B,A,Confident
9,5/4/2025 19:17,5/4/2025 19:18,anonymous,,Junior,International student,Male,B,B,A,Confident
10,5/4/2025 19:19,5/4/2025 19:20,anonymous,,Freshman,Domestic student,Male,B,A,B,Somewhat confident
11,5/4/2025 19:23,5/4/2025 19:24,anonymous,,Senior,Domestic student,Female,A,A,B,Not confident
12,5/4/2025 19:23,5/4/2025 19:24,anonymous,,Senior,Domestic student,Female,B,B,A,Somewhat confident
13,5/4/2025 19:23,5/4/2025 19:24,anonymous,,Senior,International student,Female,B,B,A,Confident
14,5/4/2025 19:26,5/4/2025 19:27,anonymous,,Sophomore,Domestic student,Male,A,A,B,Somewhat confident
15,5/4/2025 19:33,5/4/2025 19:33,anonymous,,Senior,Domestic student,Male,A,A,A,Not confident
16,5/4/2025 19:35,5/4/2025 19:36,anonymous,,Freshman,Domestic student,Male,B,B,A,Confident
17,5/4/2025 19:35,5/4/2025 19:36,anonymous,,Junior,Domestic student,Female,B,B,A,Confident
18,5/4/2025 19:37,5/4/2025 19:38,anonymous,,Senior,Domestic student,Male,B,B,A,Somewhat confident
19,5/4/2025 19:37,5/4/2025 19:38,anonymous,,Junior,Domestic student,Female,A,A,B,Not confident
20,5/4/2025 19:40,5/4/2025 19:41,anonymous,,Sophomore,International student,Female,B,B,A,Confident
